stars,catalogs,repetitions
11 Com,III/244/catalog,429
11 Com,III/244/mean,400
11 Com,V/53A/catalog,42
11 Com,VI/137/gum_mw,3777
11 Com,J/A+A/363/239/table2,17
11 Com,J/A+A/475/1003/table4,21
11 Com,J/A+A/574/A50/stars,88
11 Com,J/AN/321/277/table5,9
11 UMi,III/244/catalog,429
11 UMi,III/244/mean,400
11 UMi,VI/137/gum_mw,3777
11 UMi,J/A+A/363/239/table2,17
14 And,III/244/catalog,429
14 And,III/244/mean,400
14 And,VI/137/gum_mw,3777
14 And,J/A+A/363/239/table2,17
14 And,J/A+A/574/A50/stars,88
14 Her,III/244/catalog,429
14 Her,III/244/mean,400
14 Her,V/36B/bsc4s,29
14 Her,VI/137/gum_mw,3777
14 Her,J/ApJ/622/1102/table1,103
14 Her,J/ApJ/646/505/table2,146
14 Her,J/ApJS/159/141/stars,172
14 Her,J/A+A/537/A147/table4,89
14 Her,J/A+A/555/A11/stars,24
14 Her,J/A+A/654/A137/table1,269
14 Her,J/AJ/153/21/table5,124
14 Her,J/AJ/159/90/table3,14
14 Her,J/PASJ/57/13/table1,36
16 Cyg B,III/244/catalog,429
16 Cyg B,III/244/mean,400
16 Cyg B,VI/137/gum_mw,3777
16 Cyg B,J/ApJ/622/1102/table1,103
16 Cyg B,J/ApJ/646/505/table2,146
16 Cyg B,J/ApJ/835/172/table1,7
16 Cyg B,J/ApJS/159/141/stars,172
16 Cyg B,J/A+A/515/A93/table1,12
16 Cyg B,J/A+A/537/A147/table4,89
16 Cyg B,J/A+A/594/A39/tablea3,1350
16 Cyg B,J/A+A/608/A112/table1,3
16 Cyg B,J/A+A/654/A137/table1,269
16 Cyg B,J/A+AS/137/521/table2,8
16 Cyg B,J/AJ/143/135/table2,38
16 Cyg B,J/AJ/153/21/table5,124
16 Cyg B,J/AJ/163/183/table2,16
16 Cyg B,J/MNRAS/444/3517/stars,22
16 Cyg B,J/PASJ/57/13/table1,36
18 Del,VI/137/gum_mw,3777
18 Del,J/A+A/574/A50/stars,88
1SWASP J1407,VI/137/gum_mw,3777
1SWASP J1407,J/MNRAS/478/4513/catalog,41
24 Sex,VI/137/gum_mw,3777
24 Sex,J/A+A/574/A50/stars,88
24 Sex,J/A+A/629/A80/tableb12,45
30 Ari B,III/244/catalog,429
30 Ari B,III/244/mean,400
30 Ari B,VI/137/gum_mw,3777
30 Ari B,J/ApJ/578/943/table2,1
30 Ari B,J/ApJ/804/146/table5,7
30 Ari B,J/AJ/144/135/table1,2
30 Ari B,J/AJ/153/21/table5,124
38 Vir,III/244/catalog,429
38 Vir,III/244/mean,400
38 Vir,VI/137/gum_mw,3777
38 Vir,J/A+A/620/A58/tablea2,10
4 Uma,III/244/catalog,429
4 Uma,V/53A/catalog,42
4 Uma,VI/137/gum_mw,3777
4 Uma,J/A+A/574/A50/stars,88
4 Uma,J/AJ/150/123/table1,18
42 Dra,III/244/catalog,429
42 Dra,V/53A/catalog,42
42 Dra,VI/137/gum_mw,3777
42 Dra,J/A+A/363/239/table2,17
42 Dra,J/A+A/574/A50/stars,88
47 Uma,III/244/catalog,429
47 Uma,III/244/mean,400
47 Uma,VI/137/gum_mw,3777
47 Uma,J/ApJ/622/1102/table1,103
47 Uma,J/ApJ/646/505/table2,146
47 Uma,J/ApJS/159/141/stars,172
47 Uma,J/A+A/515/A93/table1,12
47 Uma,J/A+A/520/A79/tablea1,35
47 Uma,J/A+A/537/A147/table4,89
47 Uma,J/A+A/555/A11/stars,24
47 Uma,J/A+A/576/A69/stars,146
47 Uma,J/A+A/654/A137/table1,269
47 Uma,J/A+AS/137/521/table2,8
47 Uma,J/AJ/143/135/table2,38
47 Uma,J/AJ/153/21/table5,124
47 Uma,J/MNRAS/403/1368/stars,85
47 Uma,J/MNRAS/403/1368/table3,10
47 Uma,J/MNRAS/444/3517/stars,22
47 Uma,J/PASJ/57/13/table1,36
51 Peg,III/244/catalog,429
51 Peg,III/244/mean,400
51 Peg,VI/137/gum_mw,3777
51 Peg,J/ApJ/622/1102/table1,103
51 Peg,J/ApJ/646/505/table2,146
51 Peg,J/ApJ/919/138/table1,542
51 Peg,J/ApJS/159/141/stars,172
51 Peg,J/A+A/520/A79/tablea1,35
51 Peg,J/A+A/537/A147/table4,89
51 Peg,J/A+A/555/A11/stars,24
51 Peg,J/A+A/629/A80/tableb12,45
51 Peg,J/A+A/654/A137/table1,269
51 Peg,J/A+A/654/A168/tablee2,181
51 Peg,J/AJ/143/135/table2,38
51 Peg,J/AJ/153/21/table5,124
51 Peg,J/AJ/163/183/table2,16
51 Peg,J/MNRAS/444/3517/stars,22
51 Peg,J/PASJ/57/13/table1,36
55 Cnc,III/244/catalog,429
55 Cnc,III/244/mean,400
55 Cnc,V/156/dr7smrs,532
55 Cnc,VI/137/gum_mw,3777
55 Cnc,J/ApJ/622/1102/table1,103
55 Cnc,J/ApJ/646/505/table2,146
55 Cnc,J/ApJ/822/97/table5,17
55 Cnc,J/ApJ/837/96/table7,15
55 Cnc,J/ApJ/879/105/table1,34
55 Cnc,J/ApJS/159/141/stars,172
55 Cnc,J/A+A/520/A79/tablea1,35
55 Cnc,J/A+A/537/A147/table4,89
55 Cnc,J/A+A/555/A11/stars,24
55 Cnc,J/A+A/612/A49/tableb1,56
55 Cnc,J/A+A/614/A76/tablea3,75
55 Cnc,J/A+A/623/A44/tablea1,58
55 Cnc,J/A+A/627/A161/tableb1,52
55 Cnc,J/A+A/629/A80/tableb12,45
55 Cnc,J/A+A/654/A137/table1,269
55 Cnc,J/A+A/654/A168/tablee2,181
55 Cnc,J/A+A/656/A162/table1,71
55 Cnc,J/A+A/662/A41/tableb1,63
55 Cnc,J/AJ/143/93/table3,54
55 Cnc,J/AJ/143/135/table2,38
55 Cnc,J/AJ/153/21/table5,124
55 Cnc,J/AJ/163/183/table2,16
55 Cnc,J/PASJ/57/13/table1,36
6 Lyn,III/244/catalog,429
6 Lyn,VI/137/gum_mw,3777
6 Lyn,J/A+A/636/A85/tablec1,136
61 Vir,III/244/catalog,429
61 Vir,III/244/mean,400
61 Vir,III/244/standard,23
61 Vir,V/53A/catalog,42
61 Vir,VI/137/gum_mw,3777
61 Vir,J/ApJS/159/141/stars,172
61 Vir,J/A+A/398/647/tablea1,13
61 Vir,J/A+A/493/1099/table2,31
61 Vir,J/A+A/520/A79/tablea1,35
61 Vir,J/A+A/537/A147/table4,89
61 Vir,J/A+A/542/A116/table1,2
61 Vir,J/A+A/542/A116/table2,13
61 Vir,J/A+A/607/A124/tablea1,77
61 Vir,J/A+A/615/A76/tablea3,138
61 Vir,J/A+A/629/A80/tableb12,45
61 Vir,J/A+A/629/A80/table6,23
61 Vir,J/A+A/634/A136/table3,138
61 Vir,J/A+A/654/A168/tablee2,181
61 Vir,J/AJ/143/135/table2,38
61 Vir,J/AJ/153/21/table5,124
61 Vir,J/AJ/163/183/table2,16
61 Vir,J/MNRAS/403/1368/table3,10
61 Vir,J/PASJ/57/13/table1,36
7 CMA,III/244/catalog,429
7 CMA,III/244/mean,400
7 CMA,III/244/standard,23
7 CMA,V/53A/catalog,42
7 CMA,VI/137/gum_mw,3777
7 CMA,J/A+A/475/1003/table4,21
7 CMA,J/A+A/561/A126/table1,29
7 CMA,J/A+A/574/A50/stars,88
7 CMA,J/A+A/629/A80/tableb12,45
70 Vir,III/244/catalog,429
70 Vir,III/244/mean,400
70 Vir,III/244/standard,23
70 Vir,V/53A/catalog,42
70 Vir,VI/137/gum_mw,3777
70 Vir,J/ApJ/508/397/stars,5
70 Vir,J/ApJ/622/1102/table1,103
70 Vir,J/ApJ/646/505/table2,146
70 Vir,J/ApJ/919/138/table1,542
70 Vir,J/ApJS/159/141/stars,172
70 Vir,J/A+A/398/647/tablea1,13
70 Vir,J/A+A/493/1099/table2,31
70 Vir,J/A+A/520/A79/tablea1,35
70 Vir,J/A+A/537/A147/table4,89
70 Vir,J/A+A/542/A116/table2,13
70 Vir,J/A+A/555/A11/stars,24
70 Vir,J/A+A/574/A50/stars,88
70 Vir,J/AJ/153/21/table5,124
70 Vir,J/MNRAS/403/1368/stars,85
70 Vir,J/PASJ/57/13/table1,36
75 Cet,VI/137/gum_mw,3777
75 Cet,J/A+A/536/A71/table1,22
75 Cet,J/A+A/574/A50/stars,88
75 Cet,J/A+A/647/A157/tableb4,22
8 Umi,V/36B/bsc4s,29
8 Umi,VI/137/gum_mw,3777
8 Umi,J/AJ/150/123/table1,18
8 Umi,J/AJ/159/9/table5,2
81 Cet,VI/137/gum_mw,3777
81 Cet,J/A+A/574/A50/stars,88
91 Aqr,III/244/catalog,429
91 Aqr,V/53A/catalog,42
91 Aqr,VI/137/gum_mw,3777
91 Aqr,J/A+A/475/1003/table4,21
91 Aqr,J/A+A/561/A126/table1,29
91 Aqr,J/A+A/574/A50/stars,88
91 Aqr,J/AJ/150/123/table1,18
AS 205 A,V/73A/catalog,5
AS 205 A,VI/137/gum_mw,3777
BD-06 1339,VI/137/gum_mw,3777
BD-06 1339,J/ApJ/822/97/table2,9
BD-08 2823,VI/137/gum_mw,3777
BD-10 3166,VI/137/gum_mw,3777
BD-10 3166,J/ApJ/622/1102/table1,103
BD-10 3166,J/ApJ/646/505/table2,146
BD-10 3166,J/ApJS/159/141/stars,172
BD-10 3166,J/A+A/612/A49/tableb1,56
BD-10 3166,J/A+A/614/A76/tablea3,75
BD-10 3166,J/A+A/623/A44/tablea1,58
BD-10 3166,J/A+A/652/A28/tablea1,35
BD-10 3166,J/A+A/654/A137/table1,269
BD-10 3166,J/A+A/656/A162/table1,71
BD-10 3166,J/A+A/662/A41/tableb1,63
BD-10 3166,J/AJ/153/21/table5,124
BD-11 4672,VI/137/gum_mw,3777
BD-11 4672,J/A+A/527/A63/table1,6
BD-11 4672,J/A+A/576/A48/table1,6
BD-17 63,VI/137/gum_mw,3777
BD+14 4559,VI/137/gum_mw,3777
BD+15 2375,VI/137/gum_mw,3777
BD+15 2940,VI/137/gum_mw,3777
BD+20 2457,VI/137/gum_mw,3777
BD+20 2457,J/AJ/150/123/table1,18
BD+20 274,VI/137/gum_mw,3777
BD+20 594,VI/137/gum_mw,3777
BD+20 594,J/A+A/654/A168/tablee2,181
BD+24 4697,VI/137/gum_mw,3777
BD+26 1888,VI/137/gum_mw,3777
BD+48 738,V/156/dr7smrs,532
BD+48 738,VI/137/gum_mw,3777
BD+48 738,J/A+A/574/A50/stars,88
BD+49 828,VI/137/gum_mw,3777
beta Cnc,III/244/catalog,429
beta Cnc,III/244/mean,400
beta Cnc,V/53A/catalog,42
beta Cnc,VI/137/gum_mw,3777
beta Cnc,J/A+A/363/239/table2,17
beta Cnc,J/A+A/475/1003/table4,21
beta Cnc,J/A+A/620/A58/tablea2,10
beta Cnc,J/AN/321/277/table5,9
CI Tau,III/244/mean,400
CI Tau,V/73A/catalog,5
CI Tau,VI/137/gum_mw,3777
CI Tau,J/ApJ/745/119/table3,1
CI Tau,J/ApJ/911/138/table1,3
CI Tau,J/A+A/460/695/stars,21
CoRoT-1,VI/137/gum_mw,3777
CoRoT-1,J/ApJ/757/161/table7,57
CoRoT-1,J/A+A/576/A69/stars,146
CoRoT-1,J/A+A/654/A137/table1,269
CoRoT-1,J/A+A/654/A168/tablee2,181
CoRoT-1,J/MNRAS/411/L46/table1,90
CoRoT-10,VI/137/gum_mw,3777
CoRoT-10,J/A+A/523/A91/table9,5
CoRoT-10,J/A+A/662/A66/table5,240
CoRoT-11,VI/137/gum_mw,3777
CoRoT-11,J/A+A/574/A39/table4,109
CoRoT-11,J/MNRAS/411/L46/table1,90
CoRoT-12,VI/137/gum_mw,3777
CoRoT-12,J/ApJ/919/138/table1,542
CoRoT-12,J/A+A/523/A91/table9,5
CoRoT-12,J/A+A/574/A39/table4,109
CoRoT-12,J/A+A/624/A19/catalog,10
CoRoT-12,J/A+A/662/A66/table5,240
CoRoT-12,J/MNRAS/411/L46/table1,90
CoRoT-13,VI/137/gum_mw,3777
CoRoT-13,J/ApJ/919/138/table1,542
CoRoT-13,J/A+A/574/A39/table4,109
CoRoT-13,J/MNRAS/411/L46/table1,90
CoRoT-14,VI/137/gum_mw,3777
CoRoT-14,J/A+A/574/A39/table4,109
CoRoT-14,J/MNRAS/411/L46/table1,90
CoRoT-15,VI/137/gum_mw,3777
CoRoT-15,J/A+A/662/A66/table5,240
CoRoT-16,VI/137/gum_mw,3777
CoRoT-16,J/ApJ/919/138/table1,542
CoRoT-17,VI/137/gum_mw,3777
CoRoT-17,J/ApJ/919/138/table1,542
CoRoT-17,J/A+A/574/A39/table4,109
CoRoT-18,VI/137/gum_mw,3777
CoRoT-18,J/A+A/574/A39/table4,109
CoRoT-19,VI/137/gum_mw,3777
CoRoT-2,VI/137/gum_mw,3777
CoRoT-2,J/ApJ/757/161/table7,57
CoRoT-2,J/A+A/574/A39/table4,109
CoRoT-2,J/MNRAS/411/L46/table1,90
CoRoT-20,VI/137/gum_mw,3777
CoRoT-20,J/ApJ/919/138/table1,542
CoRoT-21,VI/137/gum_mw,3777
CoRoT-21,J/A+A/523/A91/table9,5
CoRoT-22,VI/137/gum_mw,3777
CoRoT-23,VI/137/gum_mw,3777
CoRoT-23,J/ApJ/919/138/table1,542
CoRoT-24,VI/137/gum_mw,3777
CoRoT-25,VI/137/gum_mw,3777
CoRoT-25,J/A+A/574/A39/table4,109
CoRoT-26,VI/137/gum_mw,3777
CoRoT-26,J/ApJ/919/138/table1,542
CoRoT-26,J/A+A/574/A39/table4,109
CoRoT-27,VI/137/gum_mw,3777
CoRoT-27,J/ApJ/919/138/table1,542
CoRoT-27,J/A+A/574/A39/table4,109
CoRoT-28,VI/137/gum_mw,3777
CoRoT-28,J/ApJS/237/38/abund,807
CoRoT-29,VI/137/gum_mw,3777
CoRoT-3,VI/137/gum_mw,3777
CoRoT-3,J/MNRAS/411/L46/table1,90
CoRoT-33,VI/137/gum_mw,3777
CoRoT-4,VI/137/gum_mw,3777
CoRoT-4,J/A+A/574/A39/table4,109
CoRoT-4,J/A+A/576/A69/stars,146
CoRoT-4,J/A+A/654/A137/table1,269
CoRoT-4,J/MNRAS/411/L46/table1,90
CoRoT-5,VI/137/gum_mw,3777
CoRoT-5,J/A+A/574/A39/table4,109
CoRoT-5,J/A+A/576/A69/stars,146
CoRoT-5,J/A+A/654/A137/table1,269
CoRoT-5,J/A+A/662/A66/table5,240
CoRoT-5,J/MNRAS/411/L46/table1,90
CoRoT-6,VI/137/gum_mw,3777
CoRoT-6,J/A+A/574/A39/table4,109
CoRoT-6,J/MNRAS/411/L46/table1,90
CoRoT-7,VI/137/gum_mw,3777
CoRoT-7,J/ApJ/757/161/table7,57
CoRoT-7,J/A+A/523/A91/table9,5
CoRoT-7,J/A+A/624/A19/catalog,10
CoRoT-7,J/A+A/636/A85/tablec1,136
CoRoT-7,J/A+A/654/A168/tablee2,181
CoRoT-7,J/MNRAS/411/L46/table1,90
CoRoT-8,VI/137/gum_mw,3777
CoRoT-8,J/A+A/523/A91/table9,5
CoRoT-8,J/A+A/574/A39/table4,109
CoRoT-8,J/MNRAS/411/L46/table1,90
CoRoT-9,VI/137/gum_mw,3777
CoRoT-9,J/ApJ/919/138/table1,542
CoRoT-9,J/A+A/636/A85/tablec1,136
CoRoT-9,J/AJ/146/156/table1,7
EPIC 201295312,VI/137/gum_mw,3777
K2-8,VI/137/gum_mw,3777
K2-19,V/156/dr7smrs,532
K2-19,VI/137/gum_mw,3777
K2-22,V/156/dr7smrs,532
K2-22,VI/137/gum_mw,3777
K2-36,V/156/dr7smrs,532
K2-36,VI/137/gum_mw,3777
K2-16,VI/137/gum_mw,3777
K2-24,VI/137/gum_mw,3777
K2-24,J/A+A/624/A19/catalog,10
K2-37,VI/137/gum_mw,3777
K2-38,VI/137/gum_mw,3777
K2-38,J/A+A/624/A19/catalog,10
K2-32,VI/137/gum_mw,3777
K2-33,VI/137/gum_mw,3777
K2-33,J/A+A/612/A49/tableb1,56
K2-33,J/A+A/614/A76/tablea3,75
K2-33,J/A+A/623/A44/tablea1,58
K2-33,J/A+A/656/A162/table1,71
K2-98,V/156/dr7smrs,532
K2-98,VI/137/gum_mw,3777
EPIC 211822797,VI/137/gum_mw,3777
K2-101,VI/137/gum_mw,3777
K2-101,J/MNRAS/483/1125/table2,8
K2-104,VI/137/gum_mw,3777
K2-104,J/MNRAS/483/1125/table2,8
K2-102,VI/137/gum_mw,3777
K2-102,J/AJ/123/1570/table2,3
K2-102,J/AJ/153/128/table7,4
K2-102,J/MNRAS/483/1125/table2,8
K2-100,VI/137/gum_mw,3777
K2-100,J/A+A/620/A58/tablea2,10
K2-100,J/AJ/123/1570/table2,3
K2-100,J/AJ/153/128/table7,4
K2-100,J/MNRAS/483/1125/table2,8
K2-107,VI/137/gum_mw,3777
K2-139,VI/137/gum_mw,3777
EPIC 219388192,VI/137/gum_mw,3777
K2-113,VI/137/gum_mw,3777
EPIC 220674823,VI/137/gum_mw,3777
K2-21,VI/137/gum_mw,3777
K2-25,VI/137/gum_mw,3777
K2-25,J/ApJ/879/105/table1,34
eps CrB,III/244/catalog,429
eps CrB,III/244/mean,400
eps CrB,V/53A/catalog,42
eps CrB,V/156/dr7smrs,532
eps CrB,VI/137/gum_mw,3777
eps CrB,J/A+A/363/239/table2,17
eps Eridani,III/244/catalog,429
eps Eridani,III/244/mean,400
eps Eridani,III/244/standard,23
eps Eridani,V/53A/catalog,42
eps Eridani,VI/137/gum_mw,3777
eps Eridani,J/ApJ/508/397/stars,5
eps Eridani,J/ApJ/622/1102/table1,103
eps Eridani,J/ApJ/646/505/table2,146
eps Eridani,J/ApJ/822/40/table1,10
eps Eridani,J/ApJ/839/97/ews,4
eps Eridani,J/ApJS/159/141/stars,172
eps Eridani,J/A+A/493/1099/table2,31
eps Eridani,J/A+A/520/A79/tablea1,35
eps Eridani,J/A+A/537/A147/table4,89
eps Eridani,J/A+A/607/A124/tablea1,77
eps Eridani,J/A+A/615/A76/tablea3,138
eps Eridani,J/A+A/624/A19/catalog,10
eps Eridani,J/A+A/629/A80/tableb12,45
eps Eridani,J/A+A/634/A136/table3,138
eps Eridani,J/A+A/654/A137/table1,269
eps Eridani,J/A+A/654/A168/tablee2,181
eps Eridani,J/AJ/153/21/table5,124
eps Eridani,J/MNRAS/403/1368/stars,85
eps Eridani,J/MNRAS/403/1368/table3,10
eps Eridani,J/MNRAS/444/3517/stars,22
eps Eridani,J/PASJ/57/13/table1,36
eps Tau,III/244/catalog,429
eps Tau,III/244/mean,400
eps Tau,III/244/standard,23
eps Tau,V/53A/catalog,42
eps Tau,VI/137/gum_mw,3777
eps Tau,J/A+A/363/239/table2,17
eps Tau,J/A+A/475/1003/table4,21
eps Tau,J/A+A/574/A50/stars,88
eps Tau,J/AN/321/277/table5,9
eta Cet,III/244/catalog,429
eta Cet,V/53A/catalog,42
eta Cet,VI/137/gum_mw,3777
eta Cet,J/A+A/475/1003/table4,21
eta Cet,J/A+A/536/A71/table1,22
eta Cet,J/A+A/561/A126/table1,29
eta Cet,J/A+A/647/A157/tableb4,22
eta Cet,J/AN/321/277/table5,9
gamma Cephei,III/244/catalog,429
gamma Cephei,III/244/mean,400
gamma Cephei,III/244/standard,23
gamma Cephei,V/53A/catalog,42
gamma Cephei,VI/137/gum_mw,3777
gamma Cephei,J/ApJ/646/505/table2,146
gamma Cephei,J/A+A/520/A79/tablea1,35
gamma Cephei,J/A+A/574/A50/stars,88
gamma Cephei,J/AJ/153/21/table5,124
GJ 1132,VI/137/gum_mw,3777
GJ 1214,VI/137/gum_mw,3777
GJ 1214,J/A+A/614/A76/tablea3,75
GJ 1214,J/MNRAS/411/L46/table1,90
GJ 15A,III/244/catalog,429
GJ 15A,III/244/mean,400
GJ 15A,VI/137/gum_mw,3777
GJ 15A,J/ApJ/704/975/table3,30
GJ 15A,J/ApJ/746/23/table2,12
GJ 15A,J/ApJ/822/40/table1,10
GJ 15A,J/ApJ/822/97/table3,14
GJ 15A,J/ApJ/822/97/table5,17
GJ 15A,J/ApJ/837/96/table3,14
GJ 15A,J/ApJ/837/96/table7,15
GJ 15A,J/ApJ/879/105/table1,34
GJ 15A,J/ApJ/898/119/table5,44
GJ 15A,J/A+A/537/A147/table4,89
GJ 15A,J/A+A/612/A49/tableb1,56
GJ 15A,J/A+A/614/A76/tablea3,75
GJ 15A,J/A+A/623/A44/tablea1,58
GJ 15A,J/A+A/627/A161/tableb1,52
GJ 15A,J/A+A/636/A85/tablec1,136
GJ 15A,J/A+A/652/A28/tablea1,35
GJ 15A,J/A+A/654/A118/tablea1,31
GJ 15A,J/A+A/656/A162/table1,71
GJ 15A,J/A+AS/137/521/table2,8
GJ 15A,J/AJ/133/2524/table1,18
GJ 15A,J/AJ/143/93/table3,54
GJ 15A,J/MNRAS/407/1657/sample,16
GJ 15A,J/MNRAS/431/2063/Mstars,35
GJ 160.2,VI/137/gum_mw,3777
GJ 163,VI/137/gum_mw,3777
GJ 163,J/ApJ/822/97/table4,15
GJ 163,J/ApJ/837/96/table5,15
GJ 163,J/AJ/143/93/table3,54
GJ 176,VI/137/gum_mw,3777
GJ 176,J/ApJ/879/105/table1,34
GJ 176,J/ApJ/898/119/table5,44
GJ 176,J/A+A/612/A49/tableb1,56
GJ 176,J/A+A/614/A76/tablea2,47
GJ 176,J/A+A/614/A76/tablea3,75
GJ 176,J/A+A/623/A44/tablea1,58
GJ 176,J/A+A/627/A161/tableb1,52
GJ 176,J/A+A/652/A28/tablea1,35
GJ 176,J/A+A/654/A118/tablea1,31
GJ 176,J/A+A/656/A162/table1,71
GJ 176,J/A+A/662/A41/tableb1,63
GJ 176,J/A+A/662/A66/table5,240
GJ 176,J/MNRAS/431/2063/Mstars,35
GJ 179,VI/137/gum_mw,3777
GJ 179,J/ApJ/822/97/table5,17
GJ 179,J/ApJ/837/96/table7,15
GJ 179,J/A+A/612/A49/tableb1,56
GJ 179,J/A+A/614/A76/tablea3,75
GJ 179,J/A+A/623/A44/tablea1,58
GJ 179,J/A+A/627/A161/tableb1,52
GJ 179,J/A+A/629/A80/tableb12,45
GJ 179,J/A+A/629/A80/table6,23
GJ 179,J/A+A/656/A162/table1,71
GJ 179,J/A+A/662/A41/tableb1,63
GJ 179,J/AJ/143/93/table3,54
GJ 180,VI/137/gum_mw,3777
GJ 180,J/A+A/612/A49/tableb1,56
GJ 180,J/A+A/614/A76/tablea3,75
GJ 180,J/A+A/623/A44/tablea1,58
GJ 180,J/A+A/627/A161/tableb1,52
GJ 180,J/A+A/639/A35/tablec1,16
GJ 180,J/A+A/654/A118/tablea1,31
GJ 180,J/A+A/656/A162/table1,71
GJ 180,J/A+A/662/A41/tableb1,63
GJ 180,J/AJ/143/93/table3,54
GJ 229 A,III/244/catalog,429
GJ 229 A,III/244/mean,400
GJ 229 A,VI/137/gum_mw,3777
GJ 229 A,J/ApJ/648/629/table1,3
GJ 229 A,J/ApJ/704/975/table3,30
GJ 229 A,J/ApJ/746/23/table2,12
GJ 229 A,J/ApJ/822/97/table3,14
GJ 229 A,J/ApJ/837/96/table3,14
GJ 229 A,J/ApJ/879/105/table1,34
GJ 229 A,J/ApJ/898/119/table5,44
GJ 229 A,J/A+A/401/997/table1,10
GJ 229 A,J/A+A/493/1099/table2,31
GJ 229 A,J/A+A/549/A131/tablea1,3
GJ 229 A,J/A+A/612/A49/tableb1,56
GJ 229 A,J/A+A/614/A76/tablea3,75
GJ 229 A,J/A+A/623/A44/tablea1,58
GJ 229 A,J/A+A/627/A161/tableb1,52
GJ 229 A,J/A+A/629/A80/tableb12,45
GJ 229 A,J/A+A/629/A80/table6,23
GJ 229 A,J/A+A/639/A35/tablec1,16
GJ 229 A,J/A+A/652/A28/tablea1,35
GJ 229 A,J/A+A/654/A118/tablea1,31
GJ 229 A,J/A+A/654/A168/tablee2,181
GJ 229 A,J/A+A/656/A162/table1,71
GJ 229 A,J/A+A/662/A41/tableb1,63
GJ 229 A,J/AJ/133/2524/table1,18
GJ 229 A,J/AJ/143/93/table3,54
GJ 229 A,J/MNRAS/407/1657/sample,16
GJ 229 A,J/MNRAS/431/2063/Mstars,35
GJ 27.1,VI/137/gum_mw,3777
GJ 27.1,J/ApJ/822/97/table3,14
GJ 27.1,J/ApJ/837/96/table3,14
GJ 27.1,J/A+A/654/A168/tablee2,181
GJ 27.1,J/AJ/143/93/table3,54
GJ 27.1,J/MNRAS/407/1657/sample,16
GJ 273,III/244/catalog,429
GJ 273,III/244/mean,400
GJ 273,VI/137/gum_mw,3777
GJ 273,J/ApJ/704/975/table3,30
GJ 273,J/ApJ/822/97/table5,17
GJ 273,J/ApJ/837/96/table7,15
GJ 273,J/ApJ/879/105/table1,34
GJ 273,J/A+A/612/A49/tableb1,56
GJ 273,J/A+A/614/A76/tablea2,47
GJ 273,J/A+A/614/A76/tablea3,75
GJ 273,J/A+A/623/A44/tablea1,58
GJ 273,J/A+A/627/A161/tableb1,52
GJ 273,J/A+A/629/A80/tableb12,45
GJ 273,J/A+A/652/A28/tablea1,35
GJ 273,J/A+A/656/A162/table1,71
GJ 273,J/A+A/662/A41/tableb1,63
GJ 273,J/AJ/143/93/table3,54
GJ 273,J/MNRAS/431/2063/Mstars,35
GJ 3021,III/244/catalog,429
GJ 3021,III/244/mean,400
GJ 3021,V/36B/bsc4s,29
GJ 3021,VI/137/gum_mw,3777
GJ 3021,J/ApJ/622/1102/table1,103
GJ 3021,J/ApJ/646/505/table2,146
GJ 3021,J/ApJ/919/138/table1,542
GJ 3021,J/A+A/460/695/stars,21
GJ 3021,J/A+A/493/1099/table2,31
GJ 3021,J/A+A/537/A147/table4,89
GJ 3021,J/A+A/615/A76/tablea3,138
GJ 3021,J/A+A/634/A136/table3,138
GJ 3021,J/A+A/654/A168/tablee2,181
GJ 3021,J/AJ/143/135/table2,38
GJ 3138,VI/137/gum_mw,3777
GJ 317,VI/137/gum_mw,3777
GJ 317,J/ApJ/822/97/table5,17
GJ 317,J/ApJ/837/96/table7,15
GJ 317,J/A+A/623/A44/tablea1,58
GJ 317,J/A+A/627/A161/tableb1,52
GJ 317,J/A+A/656/A162/table1,71
GJ 317,J/A+A/662/A41/tableb1,63
GJ 317,J/AJ/143/93/table3,54
GJ 317,J/MNRAS/478/4513/catalog,41
GJ 328,VI/137/gum_mw,3777
GJ 328,J/A+A/614/A76/tablea2,47
GJ 328,J/A+A/614/A76/tablea3,75
GJ 3293,VI/137/gum_mw,3777
GJ 3293,J/ApJ/822/97/table4,15
GJ 3293,J/ApJ/837/96/table5,15
GJ 3323,III/244/catalog,429
GJ 3323,VI/137/gum_mw,3777
GJ 3323,J/ApJ/704/975/table3,30
GJ 3323,J/A+A/612/A49/tableb1,56
GJ 3323,J/A+A/614/A76/tablea2,47
GJ 3323,J/A+A/614/A76/tablea3,75
GJ 3323,J/A+A/623/A44/tablea1,58
GJ 3323,J/A+A/627/A161/tableb1,52
GJ 3323,J/A+A/656/A162/table1,71
GJ 3323,J/A+A/662/A41/tableb1,63
GJ 3323,J/AJ/143/93/table3,54
GJ 3323,J/MNRAS/431/2063/Mstars,35
GJ 3323,J/AcA/62/67/catalog,7
GJ 3341,VI/137/gum_mw,3777
GJ 3470,V/156/dr7smrs,532
GJ 3470,VI/137/gum_mw,3777
GJ 3470,J/A+A/614/A76/tablea3,75
GJ 3634,VI/137/gum_mw,3777
GJ 3634,J/ApJ/822/97/table4,15
GJ 3634,J/ApJ/837/96/table5,15
GJ 3998,VI/137/gum_mw,3777
GJ 3998,J/A+A/614/A76/tablea2,47
GJ 3998,J/A+A/614/A76/tablea3,75
GJ 3998,J/AJ/143/93/table3,54
GJ 422,VI/137/gum_mw,3777
GJ 422,J/ApJ/822/97/table4,15
GJ 422,J/ApJ/837/96/table5,15
