hostname	gaia_id	default_flag	st_refname	st_vsin	st_vsinerr1	st_vsinerr2	st_vsinlim	rowupdate	releasedate;;
11 Com	Gaia DR2 3946945413106333696	1	<a refstr=LIU_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...672..553L/abstract target=ref> Liu et al. 2008 </a>	1.2	1.0	-1.0	0.0	2014-05-14	2014-05-14;;
11 UMi	Gaia DR2 1696798367260229376	1	<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>					2018-09-04	2018-09-06;;
14 And	Gaia DR2 1920113512486282240	1	<a refstr=SATO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008PASJ...60.1317S/abstract target=ref> Sato et al. 2008 </a>	2.6			0.0	2014-05-14	2014-05-14;;
14 Her	Gaia DR2 1385293808145621504	1	<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>					2022-09-19	2022-09-19;;
16 Cyg B	Gaia DR2 2135550755683407232	1	<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>					2018-09-04	2018-09-06;;
17 Sco	Gaia DR2 4342464209753404416	1	<a refstr=TALA_PINTO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...644A...1T/abstract target=ref>Tala Pinto et al. 2020</a>	3.98	1.11	-1.11	0.0	2021-10-25	2021-10-25;;
18 Del	Gaia DR2 1756741374681702784	1	<a refstr=SATO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008PASJ...60..539S/abstract target=ref> Sato et al. 2008 </a>					2014-05-14	2014-05-14;;
24 Boo	Gaia DR2 1603662211901473408	1	<a refstr=TAKARADA_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018PASJ...70...59T/abstract target=ref>Takarada et al. 2018</a>	3.36			0.0	2018-04-25	2018-04-26;;
24 Sex	Gaia DR2 3830897080395058048	1	<a refstr=JOHNSON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1007.4552J/abstract target=ref> Johnson et al. 2010 </a>	2.77	0.5	-0.5	0.0	2014-05-14	2014-05-14;;
24 Sex	Gaia DR2 3830897080395058048	1	<a refstr=JOHNSON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1007.4552J/abstract target=ref> Johnson et al. 2010 </a>	2.77	0.5	-0.5	0.0	2014-05-14	2014-05-14;;
2MASS J22362452+4751425	Gaia DR2 1986772848034988544	1	<a refstr=BOWLER_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153...18B/abstract target=ref>Bowler et al. 2017</a>					2016-11-09	2016-11-10;;
30 Ari B	Gaia DR2 102082477749475200	1	<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>					2018-09-04	2018-09-06;;
4 UMa	Gaia DR2 1092230803510960640	1	<a refstr=DOLLINGER_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007A&A...472..649D/abstract target=ref> Dollinger et al. 2007 </a>					2014-05-14	2014-05-14;;
42 Dra	Gaia DR2 2256800156348230400	1	<a refstr=DOELLINGER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...499..935D/abstract target=ref> Doellinger et al. 2009 </a>	1.0			1.0	2014-05-14	2014-05-14;;
47 UMa	Gaia DR2 777254360337133312	1	<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>					2014-05-14	2014-05-14;;
47 UMa	Gaia DR2 777254360337133312	1	<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>					2014-05-14	2014-05-14;;
47 UMa	Gaia DR2 777254360337133312	1	<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>					2014-05-14	2014-05-14;;
51 Peg	Gaia DR2 2835207319109249920	1	<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>					2014-05-14	2014-05-14;;
55 Cnc	Gaia DR2 704967037090946688	1	<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>	1.23	0.01	-0.01	1.0	2021-02-05	2021-02-11;;
55 Cnc	Gaia DR2 704967037090946688	1	<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>	1.23	0.01	-0.01	1.0	2021-02-05	2021-02-11;;
55 Cnc	Gaia DR2 704967037090946688	1	<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>	1.23	0.01	-0.01	1.0	2021-02-05	2021-02-11;;
55 Cnc	Gaia DR2 704967037090946688	1	<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>	1.23	0.01	-0.01	1.0	2021-02-05	2021-02-11;;
55 Cnc	Gaia DR2 704967037090946688	1	<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>	1.23	0.01	-0.01	1.0	2021-02-05	2021-02-11;;
6 Lyn	Gaia DR2 1004358968092652544	1	<a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>					2018-12-03	2018-12-06;;
61 Vir	Gaia DR2 3507879565090229888	1	<a refstr=VOGT_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...708.1366V/abstract target=ref> Vogt et al. 2010 </a>	1.9			0.0	2014-05-14	2014-05-14;;
61 Vir	Gaia DR2 3507879565090229888	1	<a refstr=VOGT_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...708.1366V/abstract target=ref> Vogt et al. 2010 </a>	1.9			0.0	2014-05-14	2014-05-14;;
61 Vir	Gaia DR2 3507879565090229888	1	<a refstr=VOGT_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...708.1366V/abstract target=ref> Vogt et al. 2010 </a>	1.9			0.0	2014-05-14	2014-05-14;;
7 CMa	Gaia DR2 2939555954747554176	1	<a refstr=LUQUE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...631A.136L/abstract target=ref>Luque et al. 2019</a>					2019-10-18	2019-10-24;;
7 CMa	Gaia DR2 2939555954747554176	1	<a refstr=LUQUE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...631A.136L/abstract target=ref>Luque et al. 2019</a>					2019-10-18	2019-10-24;;
70 Vir	Gaia DR2 3740176925743650688	1	<a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>					2018-12-03	2018-12-06;;
75 Cet	Gaia DR2 2500064286492779264	1	<a refstr=SATO_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012PASJ...64..135S/abstract target=ref> Sato et al. 2012 </a>	1.77			0.0	2015-09-02	2015-09-03;;
8 UMi	Gaia DR2 1700658653802527104	1	<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>					2018-09-04	2018-09-06;;
81 Cet	Gaia DR2 2495420602212048640	1	<a refstr=SATO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008PASJ...60.1317S/abstract target=ref> Sato et al. 2008 </a>	1.8			0.0	2014-05-14	2014-05-14;;
91 Aqr	Gaia DR2 2630155547353593216	1	<a refstr=MITCHELL_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...555A..87M/abstract target=ref> Mitchell et al. 2013 </a>	3.9	0.5	-0.5	0.0	2014-05-14	2014-05-14;;
AU Mic	Gaia DR2 6794047652729201024	1	<a refstr=CALE_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..295C/abstract target=ref>Cale et al. 2021</a>					2022-05-09	2022-05-09;;
AU Mic	Gaia DR2 6794047652729201024	1	<a refstr=CALE_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..295C/abstract target=ref>Cale et al. 2021</a>					2022-05-09	2022-05-09;;
BD+03 2562	Gaia DR2 3895649725336884736	1	<a refstr=VILLAVER_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...606A..38V/abstract target=ref>Villaver et al. 2017</a>	2.7	0.3	-0.3	0.0	2017-06-13	2017-06-15;;
BD+14 4559	Gaia DR2 1759623813132980864	1	<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>					2018-09-04	2018-09-06;;
BD+15 2375	Gaia DR2 3924009634910406912	1	<a refstr=NIEDZIELSKI_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...588A..62N/abstract target=ref>Niedzielski et al. 2016</a>	2.5	0.5	-0.5	0.0	2016-02-03	2016-02-04;;
BD+15 2940	Gaia DR2 1193071962699902336	1	<a refstr=NOWAK_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...770...53N/abstract target=ref> Nowak et al. 2013 </a>	2.3	0.8	-0.8	0.0	2014-05-14	2014-05-14;;
BD+20 2457	Gaia DR2 625137162857354880	1	<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>					2018-09-04	2018-09-06;;
BD+20 2457	Gaia DR2 625137162857354880	1	<a refstr=NIEDZIELSKI_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJ...707..768N/abstract target=ref> Niedzielski et al. 2009 </a>	2.5			1.0	2014-05-14	2014-05-14;;
BD+20 274	Gaia DR2 96530596864007552	1	<a refstr=GETTEL_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...756...53G/abstract target=ref> Gettel et al. 2012 </a>	2.0	1.5	-1.5	0.0	2015-09-16	2015-09-18;;
BD+20 594	Gaia DR2 58200934326315136	1	<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>					2018-04-25	2018-04-26;;
BD+45 564	Gaia DR2 353030751066772480	1	<a refstr=DALAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...651A..11D/abstract target=ref>Dalal et al. 2021</a>	2.0	1.0	-1.0	0.0	2021-05-28	2021-05-28;;
BD+48 738	Gaia DR2 438899345022759424	1	<a refstr=GETTEL_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...745...28G/abstract target=ref> Gettel et al. 2012 </a>	1.0			1.0	2015-08-12	2015-08-13;;
BD+48 740	Gaia DR2 438444868763388800	1	<a refstr=ADAM_OACUTE_W_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...613A..47A/abstract target=ref>Adam&oacute;w et al. 2018</a>	0.7	2.2	-2.2	0.0	2018-02-01	2018-02-01;
BD+49 828	Gaia DR2 439327501725338752	1	<a refstr=NIEDZIELSKI_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...803....1N/abstract target=ref>Niedzielski et al. 2015</a>	1.7	0.8	-0.8	0.0	2015-02-05	2015-02-05;;
BD+55 362	Gaia DR2 412783469966211456	1	<a refstr=DALAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...651A..11D/abstract target=ref>Dalal et al. 2021</a>	2.0	1.0	-1.0	0.0	2021-05-28	2021-05-28;;
BD+63 1405	Gaia DR2 2160951157908163968	1	<a refstr=DALAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...651A..11D/abstract target=ref>Dalal et al. 2021</a>	2.1	1.0	-1.0	0.0	2021-05-28	2021-05-28;;
BD-00 4475	Gaia DR2 2651390587219807744	1	<a refstr=DALAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...651A..11D/abstract target=ref>Dalal et al. 2021</a>	3.0	1.0	-1.0	0.0	2021-05-28	2021-05-28;;
BD-06 1339	Gaia DR2 3022099969137163904	1	<a refstr=LO_CURTO_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...551A..59L/abstract target=ref> Lo Curto et al. 2013 </a>	0.57			0.0	2014-05-14	2014-05-14;;
BD-06 1339	Gaia DR2 3022099969137163904	1	<a refstr=LO_CURTO_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...551A..59L/abstract target=ref> Lo Curto et al. 2013 </a>	0.57			0.0	2014-05-14	2014-05-14;;
BD-08 2823	Gaia DR2 3770419611540574080	1	<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>					2018-09-04	2018-09-06;;
BD-08 2823	Gaia DR2 3770419611540574080	1	<a refstr=HEBRARD_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...512A..46H/abstract target=ref> H&eacute;brard et al. 2010 </a>	1.4			0.0	2014-05-14	2014-05-14;
BD-10 3166	Gaia DR2 3758629479636689536	1	<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>					2018-09-04	2018-09-06;;
BD-11 4672	Gaia DR2 4154598526336121600	1	<a refstr=BARBATO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...641A..68B/abstract target=ref>Barbato et al. 2020</a>	1.0	0.5	-0.5	0.0	2020-07-17	2020-07-23;;
BD-11 4672	Gaia DR2 4154598526336121600	1	<a refstr=BARBATO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...641A..68B/abstract target=ref>Barbato et al. 2020</a>	1.0	0.5	-0.5	0.0	2020-07-17	2020-07-23;;
BD-13 2130	Gaia DR2 3030262468592291072	1	<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>					2018-09-04	2018-09-06;;
BD-17 63	Gaia DR2 2367734656180397952	1	<a refstr=MOUTOU_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...496..513M/abstract target=ref> Moutou et al. 2009 </a>	1.5			0.0	2019-09-04	2014-05-14;;
CD Cet	Gaia DR2 3179036008830848	1	<a refstr=BAUER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...640A..50B/abstract target=ref>Bauer et al. 2020</a>	2.0			1.0	2021-11-02	2021-11-02;;
CI Tau	Gaia DR2 145203159127518336	1	<a refstr=FLAGG_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019arXiv190602860F/abstract target=ref>Flagg et al. 2019</a>					2019-06-19	2019-06-27;;
CoRoT-1	Gaia DR2 3105507886130792448	1	<a refstr=BARGE_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008A&A...482L..17B/abstract target=ref> Barge et al. 2008 </a>	5.2	1.0	-1.0	0.0	2014-05-14	2014-05-14;;
CoRoT-10	Gaia DR2 4263752921128319616	1	<a refstr=BONOMO_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...520A..65B/abstract target=ref> Bonomo et al. 2010 </a>	2.0	0.5	-0.5	0.0	2014-05-14	2014-05-14;;
CoRoT-11	Gaia DR2 4285511294172309504	1	<a refstr=GANDOLFI_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...524A..55G/abstract target=ref> Gandolfi et al. 2010 </a>	40.0	5.0	-5.0	0.0	2014-05-14	2014-05-14;;
CoRoT-12	Gaia DR2 3107255598526406912	1	<a refstr=GILLON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...520A..97G/abstract target=ref> Gillon et al. 2010 </a>	1.0	1.0	-1.0	0.0	2014-05-14	2014-05-14;;
CoRoT-13	Gaia DR2 3101974231859723776	1	<a refstr=CABRERA_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...522A.110C/abstract target=ref> Cabrera et al. 2010 </a>	4.0	1.0	-1.0	0.0	2014-05-14	2014-05-14;;
CoRoT-14	Gaia DR2 3101145195794755072	1	<a refstr=TINGLEY_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...528A..97T/abstract target=ref> Tingley et al. 2011 </a>	9.0	0.5	-0.5	0.0	2014-05-14	2014-05-14;;
CoRoT-16	Gaia DR2 4256135160951556480	1	<a refstr=OLLIVIER_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A%26A...541A.149O/abstract target=ref> Ollivier et al. 2012 </a>	1.0			1.0	2014-05-14	2014-05-14;;
CoRoT-17	Gaia DR2 4255957040079935488	1	<a refstr=CSIZMADIA_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...531A..41C/abstract target=ref> Csizmadia et al. 2011 </a>	4.5	0.5	-0.5	0.0	2014-05-14	2014-05-14;;
CoRoT-18	Gaia DR2 3120058170178779392	1	<a refstr=HEBRARD_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...533A.130H/abstract target=ref> Hebrard et al. 2011 </a>	8.0	1.0	-1.0	0.0	2019-12-02	2014-05-14;;
CoRoT-19	Gaia DR2 3120002649138831360	1	<a refstr=GUENTHER_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A%26A...537A.136G/abstract target=ref> Guenther et al. 2012 </a>	6.0	1.0	-1.0	0.0	2014-05-14	2014-05-14;;
CoRoT-2	Gaia DR2 4287820848378092672	1	<a refstr=GILLON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A&A...511A...3G/abstract target=ref> Gillon et al. 2010 </a>	10.87	0.32	-0.32	0.0	2014-05-14	2014-05-14;;
CoRoT-20	Gaia DR2 3120122805143587328	1	<a refstr=REY_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A.115R/abstract target=ref>Rey et al. 2018</a>					2018-07-18	2018-07-19;;
CoRoT-20	Gaia DR2 3120122805143587328	1	<a refstr=REY_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A.115R/abstract target=ref>Rey et al. 2018</a>					2018-07-18	2018-07-19;;
CoRoT-21	Gaia DR2 3107471240236703104	1	<a refstr=P_AUML_TZOLD_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A&A...545A...6P/abstract target=ref>P&auml;tzold et al. 2012</a>	11.0	1.0	-1.0	0.0	2018-12-03	2018-12-06;
CoRoT-22	Gaia DR2 4285572454508522496	1	<a refstr=MOUTOU_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.444.2783M/abstract target=ref>Moutou et al. 2014</a>	4.0	1.5	-1.5	0.0	2014-08-21	2014-08-21;;
CoRoT-23	Gaia DR2 4283597937777249408	1	<a refstr=ROUAN_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A%26A...537A..54R/abstract target=ref> Rouan et al. 2012 </a>	9.0	1.0	-1.0	0.0	2014-05-14	2014-05-14;;
CoRoT-24	Gaia DR2 3105404467618982272	1	<a refstr=ALONSO_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...567A.112A/abstract target=ref> Alonso et al. 2014</a>	2.0	1.0	-1.5	0.0	2018-06-06	2018-05-31;;
CoRoT-24	Gaia DR2 3105404467618982272	1	<a refstr=ALONSO_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...567A.112A/abstract target=ref> Alonso et al. 2014</a>	2.0	1.0	-1.5	0.0	2014-06-11	2014-06-11;;
CoRoT-25	Gaia DR2 4285689616891369600	1	<a refstr=ALMENARA_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...555A.118A/abstract target=ref> Almenara et al. 2013 </a>	4.3	0.5	-0.5	0.0	2014-05-14	2014-05-14;;
CoRoT-26	Gaia DR2 4286437357841760000	1	<a refstr=ALMENARA_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...555A.118A/abstract target=ref> Almenara et al. 2013 </a>	2.0	1.0	-1.0	0.0	2014-05-14	2014-05-14;;
CoRoT-27	Gaia DR2 4284721191974346752	1	<a refstr=PARVIAINEN_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A%26A...562A.140P/abstract target=ref> Parviainen et al. 2014 </a>	4.0	1.0	-1.0	0.0	2014-05-14	2014-05-14;;
CoRoT-28	Gaia DR2 4284680029006075648	1	<a refstr=CABRERA_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...579A..36C/abstract target=ref>Cabrera et al. 2015</a>	3.0	0.5	-0.5	0.0	2015-04-16	2015-04-16;;
CoRoT-29	Gaia DR2 4285073581136130560	1	<a refstr=CABRERA_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...579A..36C/abstract target=ref>Cabrera et al. 2015</a>	3.5	0.5	-0.5	0.0	2015-04-16	2015-04-16;;
CoRoT-3	Gaia DR2 4263427117767106816	1	<a refstr=DELEUIL_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008A&A...491..889D/abstract target=ref> Deleuil et al. 2008 </a>	17.0	1.0	-1.0	0.0	2014-05-14	2014-05-14;;
CoRoT-30	Gaia DR2 4477300378701511296	1	<a refstr=BORD_EACUTE__ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...635A.122B/abstract target=ref>Bord&eacute; et al. 2020</a>	4.3	0.4	-0.4	0.0	2020-04-10	2020-04-16;
CoRoT-31	Gaia DR2 3020494716521521152	1	<a refstr=BORD_EACUTE__ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...635A.122B/abstract target=ref>Bord&eacute; et al. 2020</a>	2.8	0.5	-0.5	0.0	2020-04-10	2020-04-16;
CoRoT-35	Gaia DR2 4213081309275729792	1	<a refstr=SEBASTIAN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220708742S/abstract target=ref>Sebastian et al. 2022</a>	8.8	0.3	-0.3	0.0	2022-08-01	2022-08-01;;
CoRoT-36	Gaia DR2 4477340334766250496	1	<a refstr=SEBASTIAN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220708742S/abstract target=ref>Sebastian et al. 2022</a>	25.6	0.3	-0.3	0.0	2022-08-01	2022-08-01;;
CoRoT-4	Gaia DR2 3113201890547554432	1	<a refstr=MOUTOU_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008A&A...488L..47M/abstract target=ref> Moutou et al. 2008 </a>	6.4	1.0	-1.0	0.0	2014-05-14	2014-05-14;;
CoRoT-5	Gaia DR2 3125611120515388800	1	<a refstr=RAUER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...506..281R/abstract target=ref> Rauer et al. 2009 </a>	1.0	1.0	-1.0	0.0	2014-05-14	2014-05-14;;
CoRoT-6	Gaia DR2 4285684673395749120	1	<a refstr=FRIDLUND_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...512A..14F/abstract target=ref> Fridlund et al. 2010 </a>	7.6	1.0	-1.0	0.0	2014-05-14	2014-05-14;;
CoRoT-7	Gaia DR2 3107267177757848576	1	<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>					2020-11-13	2020-11-19;;
CoRoT-7	Gaia DR2 3107267177757848576	1	<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>					2015-09-08	2015-09-10;;
CoRoT-7	Gaia DR2 3107267177757848576	1	<a refstr=JOHN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp.1794J/abstract target=ref>John et al. 2022</a>					2022-08-16	2022-08-16;;
CoRoT-8	Gaia DR2 4287832775526476800	1	<a refstr=BORDE_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...520A..66B/abstract target=ref> Borde et al. 2010 </a>	2.0	1.0	-1.0	0.0	2014-05-14	2014-05-14;;
CoRoT-9	Gaia DR2 4285571629874670080	1	<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...603A..43B/abstract target=ref>Bonomo et al. 2017</a>	3.5			1.0	2017-12-12	2017-12-14;;
CoRoTID 223977153	Gaia DR2 3326541506073371776	1	<a refstr=BOUFLEUR_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.473..710B/abstract target=ref>Boufleur et al. 2018</a>	3.2	1.0	-1.0	0.0	2017-09-14	2017-09-15;;
DENIS-P J082303.1-491201	Gaia DR2 5514929155583865216	1	<a refstr=SAHLMANN_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...556A.133S/abstract target=ref> Sahlmann et al. 2013 </a>					2014-05-14	2014-05-14;;
DMPP-1	Gaia DR2 3011005587574818432	1	<a refstr=STAAB_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020NatAs...4..399S/abstract target=ref>Staab et al. 2020</a>	3.41	0.24	-0.24	0.0	2020-01-23	2020-01-30;;
DMPP-1	Gaia DR2 3011005587574818432	1	<a refstr=STAAB_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020NatAs...4..399S/abstract target=ref>Staab et al. 2020</a>	3.41	0.24	-0.24	0.0	2020-01-23	2020-01-30;;
DMPP-1	Gaia DR2 3011005587574818432	1	<a refstr=STAAB_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020NatAs...4..399S/abstract target=ref>Staab et al. 2020</a>	3.41	0.24	-0.24	0.0	2020-01-23	2020-01-30;;
DMPP-1	Gaia DR2 3011005587574818432	1	<a refstr=STAAB_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020NatAs...4..399S/abstract target=ref>Staab et al. 2020</a>	3.41	0.24	-0.24	0.0	2020-01-23	2020-01-30;;
DMPP-2	Gaia DR2 5017319806652067072	1	<a refstr=HASWELL_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020NatAs...4..408H/abstract target=ref>Haswell et al. 2020</a>	5.1	1.0	-1.0	0.0	2020-01-23	2020-01-30;;
DS Tuc A	Gaia DR2 6387058411482257536	1	<a refstr=NEWTON_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...880L..17N/abstract target=ref>Newton et al. 2019</a>	17.8	0.2	-0.2	0.0	2019-07-03	2019-07-11;;
EPIC 201170410	Gaia DR2 3786541956697428224	1	<a refstr=DEL_SER__AMP__FORS_2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.498.2778D/abstract target=ref>del Ser &amp; Fors 2020</a>					2020-11-13	2020-11-19;
