hostname	gaia_id	default_flag	st_refname	st_vsin	st_vsinerr1	st_vsinerr2	st_vsinlim	rowupdate	releasedate;;
HD 185269	Gaia DR2 2031479093959232128	1	<a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>					2018-12-03	2018-12-06;;
HD 187085	Gaia DR2 6692069568458919040	1	<a refstr=BARBATO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...615A.175B/abstract target=ref>Barbato et al. 2018</a>					2019-06-24	2019-06-27;;
HD 187123	Gaia DR2 2047452661412980736	1	<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>					2014-07-23	2014-07-23;;
HD 187123	Gaia DR2 2047452661412980736	1	<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>					2014-07-23	2014-07-23;;
HD 18742	Gaia DR2 5079636934554540160	1	<a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>					2018-12-03	2018-12-06;;
HD 188015	Gaia DR2 2028419118720795392	1	<a refstr=BUTLER_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006ApJ...646..505B/abstract target=ref> Butler et al. 2006 </a>					2014-07-23	2014-07-23;;
HD 189567	Gaia DR2 6427244702486210816	1	<a refstr=UNGER_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...654A.104U/abstract target=ref>Unger et al. 2021</a>					2021-11-02	2021-11-02;;
HD 189567	Gaia DR2 6427244702486210816	1	<a refstr=UNGER_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...654A.104U/abstract target=ref>Unger et al. 2021</a>					2021-11-04	2021-11-04;;
HD 189733	Gaia DR2 1827242816201846144	1	<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>					2018-12-03	2018-12-06;;
HD 190007	Gaia DR2 4247023886053586304	1	<a refstr=BURT_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161...10B/abstract target=ref>Burt et al. 2021</a>	2.55			0.0	2020-12-10	2020-12-17;;
